TWP_PCT,Biden,Trump,Hawkins,La Riva,Carroll,Jorgensen
West Deerfield 385,359,339,1,0,2,6
West Deerfield 386,282,298,4,1,1,11
West Deerfield 387,779,245,2,0,0,8
West Deerfield 388,358,243,4,0,5,9
West Deerfield 389,696,219,0,1,0,3
West Deerfield 390,421,215,7,0,3,2
West Deerfield 391,786,206,4,0,1,12
West Deerfield 392,862,213,4,2,1,4
West Deerfield 393,637,167,0,4,2,14
West Deerfield 394,672,231,1,0,0,11
West Deerfield 395,896,242,4,1,1,17
West Deerfield 396,888,205,3,0,0,9
West Deerfield 397,549,105,5,0,0,6
West Deerfield 398,940,199,2,0,0,12
West Deerfield 399,1023,183,6,0,0,8
West Deerfield 400,871,261,6,0,2,15
West Deerfield 401,667,205,0,0,0,3
West Deerfield 402,631,138,2,1,0,11
Zion 403,598,220,9,1,1,10
Zion 404,427,214,2,1,0,9
Zion 405,492,161,6,1,1,4
Zion 406,510,241,3,0,0,10
Zion 407,383,124,2,1,1,5
Zion 408,438,97,3,3,1,5
Zion 409,632,167,9,2,3,5
Zion 410,378,201,5,1,0,3
Zion 411,336,147,1,0,1,5
Zion 412,447,221,2,1,1,11
Zion 413,339,136,4,2,0,3
Zion 414,353,276,1,0,2,10
Zion 415,468,236,3,4,1,3
